0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:06 +0530] "POST /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 5922
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:07 +0530] "POST /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:07 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12088
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:10 +0530] "GET /ORS_Project4/ctl/CollegeCtl?id=7 HTTP/1.1" 200 4956
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:17 +0530] "POST /ORS_Project4/ctl/CollegeCtl HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:19 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12077
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:26 +0530] "GET /ORS_Project4/ctl/CollegeCtl HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:28 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12077
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:29 +0530] "POST /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 8567
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:32 +0530] "GET /ORS_Project4/ctl/CollegeCtl HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:44 +0530] "POST /ORS_Project4/ctl/CollegeCtl HTTP/1.1" 200 4933
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:45 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12110
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:47 +0530] "POST /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 9250
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:51 +0530] "POST /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12138
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:53 +0530] "POST /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 8567
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:55 +0530] "GET /ORS_Project4/ctl/RoleCtl HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:44:56 +0530] "GET /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 7677
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:06 +0530] "POST /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 7677
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:08 +0530] "POST /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 7677
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:10 +0530] "POST /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 7677
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:27 +0530] "GET /ORS_Project4/ctl/RoleCtl HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:35 +0530] "POST /ORS_Project4/ctl/RoleCtl HTTP/1.1" 200 4615
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:36 +0530] "GET /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:40 +0530] "GET /ORS_Project4/ctl/RoleCtl?id=6 HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:46 +0530] "POST /ORS_Project4/ctl/RoleCtl HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:48 +0530] "GET /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:56 +0530] "POST /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 7739
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:45:59 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12028
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:01 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 11987
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:03 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12020
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:04 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 7021
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:08 +0530] "GET /ORS_Project4/ctl/StudentCtl HTTP/1.1" 200 6730
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:43 +0530] "POST /ORS_Project4/ctl/StudentCtl HTTP/1.1" 200 6890
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:45 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12028
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:51 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:53 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:53 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12028
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:57 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:58 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:46:58 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12028
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:47:06 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 7042
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:47:07 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:47:07 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12028
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:47:09 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 7588
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:47:12 +0530] "POST /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2025:11:47:12 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12028
